"Total Screen Time","average_Total Screen Time","Time spent on fitness","Health issue during lockdown","Health affected due to screen time","Change in your weight","Weight affected by Screen time","Time spent on sleep","average_Time spent on sleep","Sleep Affected by Screen Usage"
"5","5.489847715736043","0","NO","false","Increased","false","7","7.879218472468914","false"
"3","5.489847715736043","2","NO","false","Decreased","false","10","7.879218472468914","false"
"9","5.489847715736043","0","NO","false","Remain Constant","false","6","7.879218472468914","true"
"8","5.489847715736043","1","NO","false","Decreased","true","6","7.879218472468914","true"
"6","5.489847715736043","1","NO","false","Remain Constant","false","8","7.879218472468914","false"
"1","5.489847715736043","0","YES","false","Decreased","false","5","7.879218472468914","false"
"6","5.489847715736043","1","NO","false","Increased","true","5","7.879218472468914","false"
"7","5.489847715736043","1","YES","true","Increased","true","10","7.879218472468914","false"
"5","5.489847715736043","1","NO","false","Increased","false","8","7.879218472468914","false"
"5","5.489847715736043","0","YES","false","Decreased","false","8","7.879218472468914","false"
"4","5.489847715736043","1","YES","false","Increased","false","7","7.879218472468914","false"
"6","5.489847715736043","0","YES","true","Increased","true","8","7.879218472468914","false"
"1","5.489847715736043","0","NO","false","Increased","false","7","7.879218472468914","false"
"8","5.489847715736043","0","NO","false","Remain Constant","false","8","7.879218472468914","true"
"5","5.489847715736043","1","NO","false","Increased","false","6","7.879218472468914","false"
"2","5.489847715736043","0","NO","false","Increased","false","8","7.879218472468914","false"
"5","5.489847715736043","0","NO","false","Remain Constant","false","7","7.879218472468914","false"
"3","5.489847715736043","1","NO","false","Remain Constant","false","6","7.879218472468914","false"
"5","5.489847715736043","0","YES","false","Decreased","false","9","7.879218472468914","false"
"6","5.489847715736043","0","NO","false","Remain Constant","false","12","7.879218472468914","false"
"2","5.489847715736043","2","NO","false","Remain Constant","false","9","7.879218472468914","false"
"2","5.489847715736043","1","NO","false","Remain Constant","false","8","7.879218472468914","false"
"6","5.489847715736043","0","YES","true","Remain Constant","false","8","7.879218472468914","false"
"7","5.489847715736043","1","NO","false","Increased","true","10","7.879218472468914","false"
"8","5.489847715736043","0","NO","false","Increased","true","10","7.879218472468914","true"
"8","5.489847715736043","1","NO","false","Remain Constant","false","8","7.879218472468914","true"
